//Fill tile for whole map (group:id)
Fill:0:1
//Map Dimensions (in number of tiles)
Width:30
Height:30
//Teleports
Teleport:0,440,16,30:res/Maps/Map2.txt:3:res/Tiles/Tiles2.txt:/Sprites/16ogaAlpha.png
Teleport:640,290,16,16:res/Maps/Map3.txt:10:785:320:3
Teleport:785,290,32,32:res/Maps/Map3.txt:10:640:320:3
Teleport:590,520,32,32:res/Maps/Map1.txt:10:223:134:3:res/Tiles/Tiles2.txt:/Sprites/16ogaAlpha.png
//Layer,Sublayer,TileGroup,TileID,X,Y
0,0,0,1,0,13
0,0,0,1,0,14
0,1,1,23,10,14
0,1,1,4,11,14
0,1,1,24,12,14
0,1,1,22,12,13
0,1,1,4,11,13
0,1,1,21,10,13
0,1,1,4,11,12
0,1,1,17,10,12
0,1,1,18,12,12
0,1,1,4,10,11
0,1,1,4,11,11
0,1,1,4,12,11
0,1,1,7,9,12
0,1,1,7,13,12
0,1,1,13,13,13
0,1,1,13,9,13
0,1,1,4,9,11
0,1,1,4,13,11
0,1,1,6,8,12
0,1,1,12,8,13
0,1,1,3,8,11
0,1,1,3,8,10
0,1,1,3,8,9
0,1,1,0,8,8
0,1,1,4,9,10
0,1,1,4,9,9
0,1,1,1,9,8
0,1,1,4,10,10
0,1,1,4,10,9
0,1,1,4,11,10
0,1,1,4,11,9
0,1,1,4,12,9
0,1,1,4,12,10
0,1,1,4,13,10
0,1,1,4,13,9
0,1,1,1,10,8
0,1,1,1,11,8
0,1,1,1,12,8
0,1,1,1,13,8
0,1,1,25,14,12
0,1,1,14,14,13
0,1,1,18,14,11
0,1,1,4,14,10
0,1,1,16,14,9
0,1,1,2,14,8
0,0,1,18,14,11
0,0,1,13,14,12
0,1,1,7,15,11
0,1,1,7,16,11
0,1,1,13,15,12
0,1,1,13,16,12
0,1,1,4,15,10
0,1,1,4,16,10
0,1,1,1,15,9
0,1,1,15,16,9
0,1,1,15,17,8
0,1,1,0,16,8
0,1,1,4,17,9
0,1,1,4,17,10
0,1,1,7,17,11
0,1,1,25,18,11
0,1,1,22,18,10
0,1,1,18,18,9
0,1,1,15,18,7
0,1,1,0,17,7
0,1,1,0,18,6
0,1,1,1,19,6
0,1,1,4,19,7
0,1,1,18,19,8
0,1,1,7,20,8
0,1,1,17,21,8
0,1,1,15,20,6
0,1,1,4,22,8
0,1,1,18,23,8
0,1,1,31,24,8
0,1,1,25,19,9
0,1,1,29,20,9
0,1,1,19,21,9
0,1,1,4,22,9
0,1,1,20,23,9
0,1,1,33,24,9
0,1,1,32,25,8
0,1,1,7,26,8
0,1,1,7,27,8
0,1,1,34,25,9
0,1,1,10,26,9
0,1,1,10,27,9
0,1,1,21,21,10
0,1,1,30,20,10
0,1,1,13,19,10
0,1,1,4,22,10
0,1,1,23,21,11
0,1,1,4,22,11
0,0,2,7,20,10
0,0,2,7,19,10
0,0,2,7,18,10
0,1,1,22,23,10
0,1,1,35,24,10
0,1,1,36,25,10
0,1,1,13,26,10
0,1,1,13,27,10
0,1,1,4,20,7
0,1,1,4,21,7
0,1,1,0,20,5
0,1,1,1,21,5
0,1,1,15,22,5
0,1,1,3,22,4
0,1,1,3,22,3
0,1,1,3,22,2
0,1,1,3,22,1
0,1,1,3,22,0
0,1,1,4,27,7
0,1,1,4,27,6
0,1,1,4,27,5
0,1,1,4,27,4
0,1,1,4,27,3
0,1,1,4,27,2
0,1,1,4,27,1
0,1,1,4,27,0
0,1,1,4,21,6
0,1,1,4,22,6
0,1,1,4,22,7
0,1,1,4,23,7
0,1,1,4,23,6
0,1,1,4,24,6
0,1,1,4,24,7
0,1,1,4,25,6
0,1,2,4,26,6
0,1,1,4,26,7
0,1,1,4,26,5
0,1,1,4,25,5
0,1,1,4,24,5
0,1,1,4,23,5
0,1,1,4,23,4
0,1,1,4,24,4
0,1,1,4,25,4
0,1,1,4,26,4
0,1,1,4,26,3
0,1,1,4,25,3
0,1,1,4,24,3
0,1,1,4,23,3
0,1,1,4,23,2
0,1,1,4,24,2
0,1,1,4,25,2
0,1,1,4,26,2
0,1,1,4,26,1
0,1,1,4,25,1
0,1,1,4,24,1
0,1,1,4,23,1
0,1,1,4,23,0
0,1,1,4,24,0
0,1,1,4,25,0
0,1,1,4,26,0
0,0,1,10,19,9
0,1,1,4,18,8
0,1,1,13,17,12
0,1,1,14,18,12
0,1,1,5,23,11
0,1,3,0,4,4
0,1,3,1,8,4
0,2,3,2,5,7
0,2,3,0,4,12
0,2,3,0,11,10
0,0,2,6,10,15
0,0,2,8,12,15
0,0,2,7,11,15
0,0,2,5,12,14
0,0,2,5,12,13
0,0,2,3,10,14
0,0,2,12,10,13
0,0,2,7,9,13
0,0,2,6,8,13
0,0,2,3,8,12
0,0,2,0,8,11
0,0,2,6,21,12
0,0,2,8,23,12
0,0,2,7,22,12
0,0,2,5,23,11
0,0,2,3,21,11
0,0,2,12,21,10
0,0,2,11,23,10
0,0,2,8,24,10
0,2,1,37,20,9
0,2,1,43,20,8
0,2,1,39,24,8
0,2,1,40,25,8
0,2,1,41,24,9
0,2,1,42,25,9
0,0,2,11,24,9
0,1,1,33,18,17
0,1,1,34,19,17
0,1,1,35,18,18
0,1,1,36,19,18
0,1,1,31,18,16
0,1,1,32,19,16
0,1,1,8,20,16
0,1,1,6,17,16
0,1,4,7,17,15
0,1,4,7,18,15
0,1,4,7,19,15
0,1,4,7,20,15
0,1,1,9,17,17
0,1,1,11,20,17
0,1,1,12,17,18
0,1,1,14,20,18
0,2,1,39,18,16
0,2,1,40,19,16
0,2,1,41,18,17
0,2,1,42,19,17
0,1,1,7,28,8
0,1,1,7,29,8
0,1,1,10,28,9
0,1,1,10,29,9
0,1,1,13,28,10
0,1,1,13,29,10
0,1,1,4,29,7
0,1,1,4,28,7
0,1,1,4,28,6
0,1,1,4,29,6
0,1,1,4,29,5
0,1,1,4,28,5
0,1,1,4,28,3
0,1,1,4,28,4
0,1,1,4,29,4
0,1,1,4,29,3
0,1,1,4,28,2
0,1,1,4,29,2
0,1,1,4,29,1
0,1,1,4,28,1
0,1,1,4,28,0
0,1,1,4,29,0
0,1,2,4,25,7
0,2,5,3,26,7
0,2,5,4,27,7
0,2,5,5,28,7
1,0,6,0,26,8
1,0,6,1,27,8
1,0,6,2,28,8
1,0,6,3,26,9
1,0,6,4,27,9
1,0,6,5,28,9
1,0,6,9,26,10
1,0,6,10,27,10
1,0,6,11,28,10
1,0,6,14,28,11
1,0,6,12,26,11
1,0,6,13,27,11
0,0,4,0,25,10
0,0,4,1,26,10
0,0,4,1,27,10
0,0,4,1,28,10
0,0,4,2,29,10
0,1,4,1,24,14
0,1,4,1,23,14
0,1,4,1,22,14
0,1,4,1,21,14
0,1,4,1,20,14
0,1,4,1,19,14
0,1,4,1,18,14
0,1,4,1,17,14
0,1,4,1,16,14
0,1,4,1,15,14
0,1,4,4,15,15
0,1,4,4,15,16
0,1,4,0,14,14
0,1,4,3,14,15
0,1,4,3,14,16
0,1,4,3,14,17
0,1,4,10,16,15
0,1,4,5,16,16
0,1,4,5,16,17
0,1,4,4,15,17
0,1,4,4,15,18
0,1,4,3,14,18
0,2,1,0,17,15
0,2,1,1,18,15
0,2,1,1,19,15
0,2,1,2,20,15
0,1,4,4,15,20
0,1,4,4,15,21
0,1,4,5,16,18
0,1,4,5,16,20
0,1,4,13,16,21
0,1,4,1,17,21
0,1,4,1,18,21
0,1,4,1,19,21
0,1,4,1,20,21
0,1,4,1,22,21
0,1,4,1,21,21
0,1,4,1,23,21
0,1,4,14,24,21
0,1,4,7,21,15
0,1,4,7,22,15
0,1,4,7,23,15
0,1,4,7,24,15
0,1,4,7,25,15
0,1,4,11,26,15
0,1,4,3,26,16
0,1,4,3,26,17
0,1,4,3,26,18
0,1,4,14,26,19
0,1,4,4,26,20
0,1,4,0,25,19
0,1,4,14,25,20
0,1,4,0,24,20
0,1,4,4,27,15
0,1,4,4,27,16
0,1,4,4,27,17
0,1,4,4,27,18
0,1,4,6,25,11
0,1,4,8,29,11
0,1,4,10,28,11
0,1,4,11,26,11
0,1,4,4,27,11
0,1,4,5,28,12
0,1,4,3,26,12
0,1,4,4,27,12
0,1,4,14,26,13
0,1,4,0,25,13
0,1,4,14,25,14
0,1,4,5,28,13
0,1,4,5,28,14
0,1,4,13,28,15
0,1,4,4,28,16
0,1,4,4,28,17
0,1,4,10,28,18
0,1,4,2,29,15
0,1,4,5,29,16
0,1,4,5,29,17
0,1,4,8,29,18
0,1,4,8,28,19
0,1,4,10,27,19
0,1,4,5,27,20
0,1,4,5,27,21
0,1,4,13,27,22
0,1,4,1,28,22
0,1,4,2,29,22
0,1,4,13,29,23
0,1,4,4,23,22
0,1,4,7,23,23
0,1,4,7,24,23
0,1,4,4,21,22
0,1,4,7,22,23
0,1,4,7,21,23
0,1,4,7,20,23
0,1,4,7,19,23
0,1,4,7,18,23
0,1,4,7,17,23
0,1,4,7,16,23
0,1,4,7,15,23
0,1,4,11,25,23
0,1,4,6,25,24
0,1,4,11,26,24
0,1,4,11,27,25
0,1,4,6,26,25
0,1,4,6,27,26
0,1,4,7,28,26
0,1,4,7,29,26
0,1,4,4,26,23
0,1,4,4,27,24
0,1,4,4,28,24
0,1,4,4,28,25
0,1,4,4,29,25
0,1,4,4,29,24
0,1,4,4,28,23
0,1,4,4,27,23
0,1,4,4,26,22
0,1,4,4,26,21
0,1,4,4,25,21
0,1,4,4,25,22
0,1,4,4,24,22
0,1,4,4,22,22
0,1,4,4,20,22
0,1,4,4,19,22
0,1,4,4,18,22
0,1,4,4,17,22
0,1,4,4,16,22
0,1,4,4,15,22
0,1,4,4,26,14
0,1,4,4,27,14
0,1,4,4,27,13
0,1,4,6,14,23
0,1,4,3,14,22
0,1,4,3,14,21
0,1,4,3,14,20
0,2,5,3,26,6
0,2,5,3,26,5
0,2,5,3,26,4
0,2,5,3,26,3
0,2,5,3,26,2
0,2,5,0,26,1
0,2,5,1,27,1
0,2,5,1,28,1
0,2,5,1,29,1
0,2,5,5,28,6
0,2,5,5,28,5
0,2,5,10,28,4
0,2,5,8,29,4
0,2,5,10,29,3
0,2,5,4,27,5
0,2,5,4,27,6
0,2,5,4,27,4
0,2,5,4,27,3
0,2,5,4,28,3
0,2,5,4,27,2
0,2,5,4,28,2
0,2,5,4,29,2
0,2,8,6,26,7
0,2,8,3,26,6
0,2,8,3,26,5
0,2,8,0,26,4
0,2,8,4,27,6
0,2,8,4,27,5
0,3,7,1,27,5
0,2,8,1,27,4
0,2,8,5,28,6
0,2,8,5,28,5
0,2,8,2,28,4
0,2,8,8,28,7
0,0,2,8,0,15
0,1,2,5,0,14
0,1,2,2,0,13
0,0,7,1,15,19
0,0,7,0,14,19
0,0,7,2,16,19
0,1,7,3,14,20
0,1,7,5,16,20
